Id,Name
1,Adana
2,Adıyaman
3,Afyonkarahi̇sar
4,Ağrı
5,Amasya
6,Ankara
7,Antalya
8,Artvi̇n
9,Aydın
10,Balıkesir
11,Bi̇leci̇k
12,Bi̇ngöl
13,Bi̇tli̇s
14,Bolu
15,Burdur
16,Bursa
17,Çanakkale
18,Çankırı
19,Çorum
20,Deni̇zli̇
21,Diyarbakır
22,Edi̇rne
23,Elazığ
24,Erzi̇ncan
25,Erzurum
26,Eski̇şehi̇r
27,Gazi̇antep
28,Gi̇resun
29,Gümüşhane
30,Hakkari
31,Hatay
32,Isparta
33,Mersin
34,İstanbul
35,İzmi̇r
36,Kars
37,Kastamonu
38,Kayseri̇
39,Kırklareli
40,Kırşehir
41,Kocaeli̇
42,Konya
43,Kütahya
44,Malatya
45,Mani̇sa
46,Kahramanmaraş
47,Mardi̇n
48,Muğla
49,Muş
50,Nevşehi̇r
51,Ni̇ğde
52,Ordu
53,Ri̇ze
54,Sakarya
55,Samsun
56,Si̇i̇rt
57,Si̇nop
58,Si̇vas
59,Teki̇rdağ
60,Tokat
61,Trabzon
62,Tunceli̇
63,Şanlıurfa
64,Uşak
65,Van
66,Yozgat
67,Zonguldak
68,Aksaray
69,Bayburt
70,Karaman
71,Kırıkkale
72,Batman
73,Şırnak
74,Bartın
75,Ardahan
76,Iğdır
77,Yalova
78,Karabük
79,Ki̇li̇s
80,Osmani̇ye
81,Düzce
