Id,Ranking,TeamId,MatchesPlayed,Wins,Draws,Losses,GoalsFor,GoalsAgainst,Pts,LeagueId
1,1,2,8,8,0,0,20,3,24,1
2,2,1,8,7,1,0,16,4,22,1
3,3,6,8,5,2,1,19,9,17,1
4,4,3,8,5,1,2,12,9,16,1
5,5,16,8,3,5,0,14,7,14,1
6,6,13,8,4,2,2,9,11,14,1
7,7,4,8,4,0,4,15,11,12,1
8,8,18,8,3,3,2,13,16,12,1
9,9,19,8,2,4,2,10,11,10,1
10,10,12,8,2,4,2,7,8,10,1
11,11,11,8,2,4,2,8,10,10,1
12,12,10,8,2,3,3,8,10,9,1
13,13,9,8,2,3,3,12,10,9,1
14,14,8,8,2,3,3,9,10,9,1
15,15,5,8,2,1,5,5,11,7,1
16,16,14,8,1,3,4,7,9,6,1
17,17,17,8,2,0,6,6,15,6,1
18,18,15,8,0,4,4,8,17,4,1
19,19,20,7,0,2,5,3,11,2,1
20,20,7,7,0,1,6,5,14,1,1
21,1,22,8,7,0,1,19,4,21,2
22,2,24,8,4,4,0,11,4,16,2
23,3,23,8,5,1,2,13,8,16,2
24,4,25,8,4,2,2,10,6,14,2
25,5,21,8,4,2,2,7,4,14,2
26,6,32,8,4,2,2,9,10,14,2
27,7,27,8,3,4,1,10,4,13,2
28,8,30,8,4,1,3,10,6,13,2
29,9,34,8,3,2,3,6,7,11,2
30,10,38,8,2,4,2,8,5,10,2
31,11,35,8,3,0,5,9,10,9,2
32,12,28,8,2,3,3,6,8,9,2
33,13,31,8,2,3,3,7,10,9,2
34,14,29,8,2,1,5,6,17,7,2
35,15,33,8,1,3,4,4,9,6,2
36,16,37,8,1,2,5,6,12,5,2
37,17,26,8,1,2,5,5,13,5,2
38,18,36,8,1,2,5,5,14,5,2
39,1,41,8,7,0,1,11,6,21,3
40,2,55,8,6,1,1,15,7,19,3
41,3,40,7,6,0,1,13,2,18,3
42,4,42,8,5,2,1,10,3,17,3
43,5,39,7,5,1,1,13,1,16,3
44,6,43,8,4,3,1,9,4,15,3
45,7,54,8,3,4,1,10,8,13,3
46,8,52,7,4,0,3,9,9,12,3
47,9,45,8,3,3,2,6,6,12,3
48,10,56,8,3,2,3,7,4,11,3
49,11,53,7,2,1,4,5,8,7,3
50,12,47,7,1,3,3,5,8,6,3
51,13,50,7,1,3,3,4,8,6,3
52,14,46,8,1,3,4,2,7,6,3
53,15,57,8,1,2,5,4,11,5,3
54,16,44,7,0,4,3,6,9,4,3
55,17,49,7,0,3,4,2,7,3,3
56,18,48,8,0,3,5,3,13,3,3
57,19,51,8,0,2,6,4,17,2,3
58,1,62,7,6,1,0,14,3,19,4
59,2,67,8,6,0,2,13,7,18,4
60,3,64,7,5,2,0,9,2,17,4
61,4,70,8,3,3,2,13,8,12,4
62,5,59,7,3,3,1,6,3,12,4
63,6,75,8,3,3,2,10,9,12,4
64,7,65,8,3,3,2,12,12,12,4
65,8,73,8,3,2,3,11,11,11,4
66,9,58,8,3,2,3,9,11,11,4
67,10,60,7,3,1,3,6,4,10,4
68,10,71,8,2,4,2,6,4,10,4
69,12,72,8,3,1,4,8,16,10,4
70,13,66,8,1,4,3,8,8,7,4
71,13,63,7,1,4,2,8,8,7,4
72,15,69,8,2,1,5,5,11,7,4
73,16,74,7,1,3,3,3,5,6,4
74,17,68,8,1,2,5,7,10,5,4
75,18,61,7,1,2,4,8,12,5,4
76,19,76,7,1,1,5,2,14,4,4
